category,pipedrive_org_id,pipedrive_org_name,blank_field_to_fill,existing_field,existing_value,proposed_value,source_table,source_id,source_field,confidence_tier,match_strategy,reason,candidate_count,source_name,source_exact_name_match
name_review,838,Advanced Collision Incorporated,,website,advancedcollisioninc.com,http://www.autocollisionwny.com/,body_shops,ChIJFQnTtobA04kR-2tjl9pCKV8,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Advanced Collision Incorporated vs Auto Collision & Glass),1,Auto Collision & Glass,no
name_review,853,American Auto Body - MT,website,,,https://crashchampions.com/locations/crash-champions-billings-20th,body_shops,ChIJtcz_mjFjSFMRhGRH4x7xdRQ,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (American Auto Body - MT vs Crash Champions Collision Repair Billings 20th),1,Crash Champions Collision Repair Billings 20th,no
name_review,865,Artistic Auto Body,,website,artistic-autobody.com,https://crashchampions.com/locations/crash-champions-tigard,body_shops,ChIJs4h3NtcMlVQRnvTke9AIO4Q,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Artistic Auto Body vs Crash Champions LUXE | EV Certified Repair Tigard),1,Crash Champions LUXE | EV Certified Repair Tigard,no
name_review,876,Auto Body Concepts [Main],,website,autobodyconceptsinc.com,https://www.autobodyconceptsinc.com/%3Fy_source%3D1_NjU1ODM3ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJX32XGuvzk4cRYXWyGAmWa3o,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Auto Body Concepts [Main] vs Auto Body Concepts of Millard),1,Auto Body Concepts of Millard,no
name_review,881,Auto Body Techniques,,phone,"(630) 653-6677, 630-653-6667",+1 630-653-6677,body_shops,ChIJMXQKA1lUDogRtFalWnMtHOk,phone,conflict,exact_name_zip,"Pipedrive name differs from source name; hold for manual review before considering the phone conflict (Auto Body Techniques vs Auto Body Techniques, Inc.)",1,"Auto Body Techniques, Inc.",no
name_review,883,Auto Collision Experts - Lincoln,website,,,https://crashchampions.com/locations/crash-champions-ft-collins-lincoln,body_shops,ChIJq7hrmpNKaYcRmJhywq5DmIU,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (Auto Collision Experts - Lincoln vs Crash Champions Collision Repair Ft Collins Lincoln),1,Crash Champions Collision Repair Ft Collins Lincoln,no
name_review,912,Axiom Collision Repair - Loveland,,website,axiomrepair.com,https://www.carstar.com/locations/co/loveland-15778/,body_shops,ChIJi3mTSO5TaYcROH4z42eUWQQ,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Axiom Collision Repair - Loveland vs CARSTAR Axiom Collision Repair - Loveland),1,CARSTAR Axiom Collision Repair - Loveland,no
name_review,922,Babb's Body Shop,,website,babbsbodyshop.net,http://www.babbsbodyshop.com/,body_shops,ChIJob5ebLLCX4gRy0L2j0pI1DA,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Babb's Body Shop vs Babb's Body Shop 24 Hour Wrecker Service),1,Babb's Body Shop 24 Hour Wrecker Service,no
name_review,945,Coachman Auto Body,,website,coachmanautomotive.com,https://crashchampions.com/locations/crash-champions-coeur-dalene,body_shops,ChIJufVLn9nAYVMRmyNlAxeFEEc,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Coachman Auto Body vs Crash Champions Collision Repair Coeur D'alene),1,Crash Champions Collision Repair Coeur D'alene,no
name_review,964,Complete Auto Body and Repair - North Lindbergh,,website,completeab.com,https://www.completeautobodycenters.com/,body_shops,ChIJh2zfstE234cRdXsqQQ375cE,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Complete Auto Body and Repair - North Lindbergh vs Complete Auto Body & Repair),1,Complete Auto Body & Repair,no
name_review,975,Cooper's Paint & Body Shop,,website,cooperspaintandbody.com,https://classiccollision.com/locations/classic-collision-key-west/,body_shops,ChIJ49aVMXix0YgREFR4QKTtYw0,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Cooper's Paint & Body Shop vs Classic Collision),1,Classic Collision,no
name_review,989,D&M Auto Body,,phone,"(973) 627-0059, 973-627-9055",+1 661-323-0603,body_shops,ChIJXbT3VtNr6oARD9TKoPFjmD8,phone,conflict,exact_name_only,Pipedrive name differs from source name; hold for manual review before considering the phone conflict (D&M Auto Body vs D & M Auto Body),6,D & M Auto Body,no
name_review,1035,Bebrick Collision Center,,website,bebrickcollision.com,https://jhcc.com/locations/auto-body-shop-waco-tx/,body_shops,ChIJ8dLd4G-DT4YRxB9jdNr9wzk,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Bebrick Collision Center vs Joe Hudson's Collision Center),1,Joe Hudson's Collision Center,no
name_review,1045,Harold's Auto Body Ltd.,,phone,780-478-4671,+1 208-342-2043,body_shops,ChIJF40hnTn4rlQRdrrmXMQrdFg,phone,conflict,exact_name_only,Pipedrive name differs from source name; hold for manual review before considering the phone conflict (Harold's Auto Body Ltd. vs Harold's Autobody),1,Harold's Autobody,no
name_review,1045,Harold's Auto Body Ltd.,,website,haroldsautobody.net,http://haroldsautobody.com/,body_shops,ChIJF40hnTn4rlQRdrrmXMQrdFg,website,conflict,exact_name_only,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Harold's Auto Body Ltd. vs Harold's Autobody),1,Harold's Autobody,no
name_review,1060,Herrick Auto Rebuilders,,website,herrickautobody.com,https://www.herrickautorebuilders.com/,body_shops,ChIJCVZmrhRtD4gRtcj2HEPn2iw,website,conflict,exact_phone,"Pipedrive name differs from source name; hold for manual review before considering the website conflict (Herrick Auto Rebuilders vs HERRICK AUTO REBUILDERS, INC.)",1,"HERRICK AUTO REBUILDERS, INC.",no
name_review,1106,Island Fender,website,,,https://www.islandfender.com/,body_shops,ChIJBS7bduJtAHwRhnUHSFREZV8,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (Island Fender vs ISLAND FENDER),1,ISLAND FENDER,no
name_review,1118,Jim Chapman's Body Shop,,website,jim-chapmans-body-shop.edan.io,http://jim-chapmans-body-shop.jany.io/,body_shops,ChIJ-zKeHwmV_IYRKdJg_5zUM0Q,website,conflict,exact_phone,"Pipedrive name differs from source name; hold for manual review before considering the website conflict (Jim Chapman's Body Shop vs Jimchapman""s Body Shop)",1,"Jimchapman""s Body Shop",no
name_review,1128,BumperDoc of Millenia,,website,bumperdocofmillenia.com,http://milleniaautobody.com/,body_shops,ChIJ8adNS0J754gRKx8BG7VjRtQ,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (BumperDoc of Millenia vs Millenia Auto Body),1,Millenia Auto Body,no
name_review,1129,Burl's Collision Center,,website,burlscollision.com,https://classiccollision.com/locations/classic-collision-north-frisco/,body_shops,ChIJKUKxUcfON4YRmRsnwCs3AVI,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Burl's Collision Center vs Classic Collision),1,Classic Collision,no
name_review,1139,Cable Dahmer Collision Center - BGC,,website,cabledahmer.com,https://crashchampions.com/locations/crash-champions-ind-noland,body_shops,ChIJJfzoHcrjwIcRdvaVh4XtG1s,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Cable Dahmer Collision Center - BGC vs Crash Champions Collision Repair Ind Noland),1,Crash Champions Collision Repair Ind Noland,no
name_review,1141,K&M Collision,,phone,"(828) 569-1275, 828-635-0322",+1 828-569-1275,body_shops,ChIJryiFh-s7UYgRUtSCOnZO1MU,phone,conflict,exact_name_zip,Pipedrive name differs from source name; hold for manual review before considering the phone conflict (K&M Collision vs K & M Collision),1,K & M Collision,no
name_review,1141,K&M Collision,,website,kandmcollision.com,https://kandmcollision.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_campaign%3Dwebsite-button,body_shops,ChIJryiFh-s7UYgRUtSCOnZO1MU,website,conflict,exact_name_zip,Pipedrive name differs from source name; hold for manual review before considering the website conflict (K&M Collision vs K & M Collision),1,K & M Collision,no
name_review,1162,Keno/Gustafson [Main],,website,kenocollision.com,https://www.gustafsonbodyshop.com/,body_shops,ChIJ2cm5hGaXD4gRl0s3GsTPnX8,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Keno/Gustafson [Main] vs Gustafson Body Shop),1,Gustafson Body Shop,no
name_review,1187,Central Auto Body,,website,autobody123.com,https://classiccollision.com/locations/classic-collision-central-point/,body_shops,ChIJwb8xi698z1QRmaRt7smIPXw,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Central Auto Body vs Classic Collision),1,Classic Collision,no
name_review,1201,LaMettry's Collision [Main],,website,https://www.lamettrys.com/,https://www.lamettrys.com/bloomington-location/,body_shops,ChIJUxDokgMl9ocRrn95_WgZXiQ,website,conflict,exact_phone,"Pipedrive name differs from source name; hold for manual review before considering the website conflict (LaMettry's Collision [Main] vs LaMettry's Collision, Inc. of Bloomington)",1,"LaMettry's Collision, Inc. of Bloomington",no
name_review,1220,Lee's Garage,,website,leesgarage.com,https://www.leesgarage.com/%3Fy_source%3D1_MTE1OTU5NjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJrdlrlmslwokRLEYJsJn4cVw,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Lee's Garage vs Lee’s Garage of West Long Branch),1,Lee’s Garage of West Long Branch,no
name_review,1235,Xtreme Collision Center,website,,,https://landersauto.com/%3Futm_source%3Dgoogle-gmb-maps%26utm_medium%3Dgmb-website-button%26utm_campaign%3Dlocl.io%26utm_content%3D13b266de-fb88-4404-9211-db7db9f39382,body_shops,ChIJVdZr9VzhdYgRG9EYCdN37DU,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (Xtreme Collision Center vs Auto Xtreme Collision - Powered by Landers Collision Network),1,Auto Xtreme Collision - Powered by Landers Collision Network,no
name_review,1241,Fradella's Collision Centers,,website,fradellas.com,https://classiccollision.com/locations/classic-collision-chalmette/,body_shops,ChIJLQUFCdscnogRj6Zl-aFbK9M,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Fradella's Collision Centers vs Classic Collision),1,Classic Collision,no
name_review,1258,Drury Body Shop,,website,https://www.drurybodyshop.com/,https://drurybodyshop.com/amarillo-collision-repair/,body_shops,ChIJW4HD-dtPAYcRMVf9NrFMpC8,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Drury Body Shop vs Drury - Moss Collision),1,Drury - Moss Collision,no
name_review,1265,Elite Auto Collision - Athens,website,,,https://classiccollision.com/locations/classic-collision-athens/,body_shops,ChIJN7Z2wQhz9ogRsi9LM19aacM,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (Elite Auto Collision - Athens vs Classic Collision),1,Classic Collision,no
name_review,1306,Fitzgerald Auto Group [Main],,website,fitzgeraldautogroup.com,https://www.caliber.com/find-a-location/monroeville%3Futm_source%3Dgoogle%26utm_medium%3Dgbp-profile%26utm_campaign%3Dwebform-GBPwebsite%26utm_content%3D%26utm_term%3D%26utm_id%3D0966,body_shops,ChIJJZi5tVc7OogR9rBnLVMZ36w,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Fitzgerald Auto Group [Main] vs Caliber Collision),1,Caliber Collision,no
name_review,1312,Fix Auto Sun Valley,,website,fixauto.com/sun-valley,https://www.mavenautobody.com/,body_shops,ChIJu7RSFDWUwoARfPBSsOGwn88,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Fix Auto Sun Valley vs Maven Autobody),1,Maven Autobody,no
