category,pipedrive_org_id,pipedrive_org_name,blank_field_to_fill,existing_field,existing_value,proposed_value,source_table,source_id,source_field,confidence_tier,match_strategy,reason,candidate_count,source_name,source_exact_name_match
name_review,838,Advanced Collision Incorporated,,website,advancedcollisioninc.com,http://www.autocollisionwny.com/,body_shops,ChIJFQnTtobA04kR-2tjl9pCKV8,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Advanced Collision Incorporated vs Auto Collision & Glass),1,Auto Collision & Glass,no
existing_conflict,839,Advanced Collision Repair,,phone,(760) 741-7565,+1 760-260-9435,body_shops,ChIJpUkwRuj024ARxqtAeqav5rU,phone,conflict,exact_name_zip,Pipedrive already has a different phone; review before any overwrite,1,Advanced Collision Repair,yes
existing_conflict,839,Advanced Collision Repair,,website,advancedcollisionescondido.com,https://www.advancedcollisionrepairca.com/,body_shops,ChIJpUkwRuj024ARxqtAeqav5rU,website,conflict,exact_name_zip,Pipedrive already has a different website; review before any overwrite,1,Advanced Collision Repair,yes
existing_conflict,852,America's Auto Body,,website,americasautobody.com,https://americasautobody.com/%3Fy_source%3D1_MTMzMjg2MzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJQ4zOxEepD4gRoCe2j2-FC9A,website,conflict,exact_phone,Pipedrive already has a different website; review before any overwrite,1,America's Auto Body,yes
name_review,853,American Auto Body - MT,website,,,https://crashchampions.com/locations/crash-champions-billings-20th,body_shops,ChIJtcz_mjFjSFMRhGRH4x7xdRQ,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (American Auto Body - MT vs Crash Champions Collision Repair Billings 20th),1,Crash Champions Collision Repair Billings 20th,no
name_review,865,Artistic Auto Body,,website,artistic-autobody.com,https://crashchampions.com/locations/crash-champions-tigard,body_shops,ChIJs4h3NtcMlVQRnvTke9AIO4Q,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Artistic Auto Body vs Crash Champions LUXE | EV Certified Repair Tigard),1,Crash Champions LUXE | EV Certified Repair Tigard,no
name_review,876,Auto Body Concepts [Main],,website,autobodyconceptsinc.com,https://www.autobodyconceptsinc.com/%3Fy_source%3D1_NjU1ODM3ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,body_shops,ChIJX32XGuvzk4cRYXWyGAmWa3o,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Auto Body Concepts [Main] vs Auto Body Concepts of Millard),1,Auto Body Concepts of Millard,no
name_review,881,Auto Body Techniques,,phone,"(630) 653-6677, 630-653-6667",+1 630-653-6677,body_shops,ChIJMXQKA1lUDogRtFalWnMtHOk,phone,conflict,exact_name_zip,"Pipedrive name differs from source name; hold for manual review before considering the phone conflict (Auto Body Techniques vs Auto Body Techniques, Inc.)",1,"Auto Body Techniques, Inc.",no
name_review,883,Auto Collision Experts - Lincoln,website,,,https://crashchampions.com/locations/crash-champions-ft-collins-lincoln,body_shops,ChIJq7hrmpNKaYcRmJhywq5DmIU,website,review,exact_phone,Pipedrive name differs from source name; hold for manual review (Auto Collision Experts - Lincoln vs Crash Champions Collision Repair Ft Collins Lincoln),1,Crash Champions Collision Repair Ft Collins Lincoln,no
name_review,912,Axiom Collision Repair - Loveland,,website,axiomrepair.com,https://www.carstar.com/locations/co/loveland-15778/,body_shops,ChIJi3mTSO5TaYcROH4z42eUWQQ,website,conflict,exact_phone,Pipedrive name differs from source name; hold for manual review before considering the website conflict (Axiom Collision Repair - Loveland vs CARSTAR Axiom Collision Repair - Loveland),1,CARSTAR Axiom Collision Repair - Loveland,no
