pipedrive_org_id,pipedrive_org_name,source_name,category,original_url,normalized_url,url_cleanup_reason
838,Advanced Collision Incorporated,Auto Collision & Glass,name_review,http://www.autocollisionwny.com/,autocollisionwny.com,scheme-www-or-trailing-slash-normalization
839,Advanced Collision Repair,Advanced Collision Repair,existing_conflict,https://www.advancedcollisionrepairca.com/,advancedcollisionrepairca.com,scheme-www-or-trailing-slash-normalization
852,America's Auto Body,America's Auto Body,existing_conflict,https://americasautobody.com/%3Fy_source%3D1_MTMzMjg2MzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,americasautobody.com/%3fy_source%3d1_mtmzmjg2mzutnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
853,American Auto Body - MT,Crash Champions Collision Repair Billings 20th,name_review,https://crashchampions.com/locations/crash-champions-billings-20th,crashchampions.com/locations/crash-champions-billings-20th,scheme-www-or-trailing-slash-normalization
865,Artistic Auto Body,Crash Champions LUXE | EV Certified Repair Tigard,name_review,https://crashchampions.com/locations/crash-champions-tigard,crashchampions.com/locations/crash-champions-tigard,scheme-www-or-trailing-slash-normalization
876,Auto Body Concepts [Main],Auto Body Concepts of Millard,name_review,https://www.autobodyconceptsinc.com/%3Fy_source%3D1_NjU1ODM3ODktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,autobodyconceptsinc.com/%3fy_source%3d1_nju1odm3odktnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
883,Auto Collision Experts - Lincoln,Crash Champions Collision Repair Ft Collins Lincoln,name_review,https://crashchampions.com/locations/crash-champions-ft-collins-lincoln,crashchampions.com/locations/crash-champions-ft-collins-lincoln,scheme-www-or-trailing-slash-normalization
912,Axiom Collision Repair - Loveland,CARSTAR Axiom Collision Repair - Loveland,name_review,https://www.carstar.com/locations/co/loveland-15778/,carstar.com/locations/co/loveland-15778,scheme-www-or-trailing-slash-normalization
922,Babb's Body Shop,Babb's Body Shop 24 Hour Wrecker Service,name_review,http://www.babbsbodyshop.com/,babbsbodyshop.com,scheme-www-or-trailing-slash-normalization
924,Kevin Ball Auto Body,Kevin Ball Auto Body,existing_conflict,https://www.autobody-review.com/shop/4800/kevin-ball-auto-body,autobody-review.com/shop/4800/kevin-ball-auto-body,scheme-www-or-trailing-slash-normalization
945,Coachman Auto Body,Crash Champions Collision Repair Coeur D'alene,name_review,https://crashchampions.com/locations/crash-champions-coeur-dalene,crashchampions.com/locations/crash-champions-coeur-dalene,scheme-www-or-trailing-slash-normalization
964,Complete Auto Body and Repair - North Lindbergh,Complete Auto Body & Repair,name_review,https://www.completeautobodycenters.com/,completeautobodycenters.com,scheme-www-or-trailing-slash-normalization
970,Concours Body Shop,Concours Body Shop,existing_conflict,https://concoursbodyshop.net/%3Fy_source%3D1_MTI2NDA3MTktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,concoursbodyshop.net/%3fy_source%3d1_mti2nda3mtktnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
975,Cooper's Paint & Body Shop,Classic Collision,name_review,https://classiccollision.com/locations/classic-collision-key-west/,classiccollision.com/locations/classic-collision-key-west,scheme-www-or-trailing-slash-normalization
981,Courtesy Body Works,Courtesy Body Works,existing_conflict,https://courtesybodyworks.com/%3Fy_source%3D1_MTUwMTU5MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,courtesybodyworks.com/%3fy_source%3d1_mtuwmtu5mjitnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
994,Daku's Auto Body Shop,Daku's Auto Body Shop,existing_conflict,https://www.dakuautobody.com/%3Fy_source%3D1_MjgyMTYzMjYtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,dakuautobody.com/%3fy_source%3d1_mjgymtyzmjytnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1026,Bates Collision Centers,Bates Collision Centers,existing_conflict,https://batescc.com/body-shop-baytown/,batescc.com/body-shop-baytown,scheme-www-or-trailing-slash-normalization
1031,Beal's Auto Body and Paint,Beal's Auto Body and Paint,existing_conflict,https://bealsautobodyandpaint.com/%3Fy_source%3D1_MTAzODMyMDY5OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,bealsautobodyandpaint.com/%3fy_source%3d1_mtazodmymdy5os03mtutbg9jyxrpb24ud2vic2l0zq%253d%253d,tracking-or-encoded-url
1035,Bebrick Collision Center,Joe Hudson's Collision Center,name_review,https://jhcc.com/locations/auto-body-shop-waco-tx/,jhcc.com/locations/auto-body-shop-waco-tx,scheme-www-or-trailing-slash-normalization
1039,Hampden Auto Body,Hampden Auto Body,existing_conflict,https://denverautobodyrepair.net/,denverautobodyrepair.net,scheme-www-or-trailing-slash-normalization
1045,Harold's Auto Body Ltd.,Harold's Autobody,name_review,http://haroldsautobody.com/,haroldsautobody.com,scheme-www-or-trailing-slash-normalization
1060,Herrick Auto Rebuilders,"HERRICK AUTO REBUILDERS, INC.",name_review,https://www.herrickautorebuilders.com/,herrickautorebuilders.com,scheme-www-or-trailing-slash-normalization
1061,Bistagne Bros. Body Shop,Bistagne Bros. Body Shop,existing_conflict,https://www.bistagnebros.com/,bistagnebros.com,scheme-www-or-trailing-slash-normalization
1062,Highlands Ranch Collision Center,Highlands Ranch Collision Center,existing_conflict,https://highlandsranchcollision.com/,highlandsranchcollision.com,scheme-www-or-trailing-slash-normalization
1069,Hogan & Van Auto Body,Hogan & Van Auto Body,existing_conflict,https://hoganandvan.com/%3Fy_source%3D1_MTU3OTc4MjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,hoganandvan.com/%3fy_source%3d1_mtu3otc4mjgtnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1087,IFM Collision Center,IFM Collision Center,existing_conflict,https://ifmcollisioncenter.com/%3Fy_source%3D1_MTQ3NzQwNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,ifmcollisioncenter.com/%3fy_source%3d1_mtq3nzqwnzmtnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1090,Impact Auto Body,Impact Auto Body,existing_conflict,http://impactautobodyshop.com/,impactautobodyshop.com,scheme-www-or-trailing-slash-normalization
1106,Island Fender,ISLAND FENDER,name_review,https://www.islandfender.com/,islandfender.com,scheme-www-or-trailing-slash-normalization
1118,Jim Chapman's Body Shop,"Jimchapman""s Body Shop",name_review,http://jim-chapmans-body-shop.jany.io/,jim-chapmans-body-shop.jany.io,scheme-www-or-trailing-slash-normalization
1121,Budd Baer Collision Center,Budd Baer Collision Center,existing_conflict,http://www.buddbaercollision.com/,buddbaercollision.com,scheme-www-or-trailing-slash-normalization
1128,BumperDoc of Millenia,Millenia Auto Body,name_review,http://milleniaautobody.com/,milleniaautobody.com,scheme-www-or-trailing-slash-normalization
1129,Burl's Collision Center,Classic Collision,name_review,https://classiccollision.com/locations/classic-collision-north-frisco/,classiccollision.com/locations/classic-collision-north-frisco,scheme-www-or-trailing-slash-normalization
1139,Cable Dahmer Collision Center - BGC,Crash Champions Collision Repair Ind Noland,name_review,https://crashchampions.com/locations/crash-champions-ind-noland,crashchampions.com/locations/crash-champions-ind-noland,scheme-www-or-trailing-slash-normalization
1141,K&M Collision,K & M Collision,name_review,https://kandmcollision.com/%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_campaign%3Dwebsite-button,kandmcollision.com/%3futm_source%3dgbp%26utm_medium%3dorganic%26utm_campaign%3dwebsite-button,tracking-or-encoded-url
1158,Kenny Davis Collision,Kenny Davis Collision,existing_conflict,https://bobmaloneycollision.com/%3Fy_source%3D1_OTY4NzE1OTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,bobmaloneycollision.com/%3fy_source%3d1_oty4nze1otqtnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1162,Keno/Gustafson [Main],Gustafson Body Shop,name_review,https://www.gustafsonbodyshop.com/,gustafsonbodyshop.com,scheme-www-or-trailing-slash-normalization
1171,Kilkeary's Auto Body,Kilkeary's Auto Body,existing_conflict,https://www.kilkearysautobody.com/%3Fy_source%3D1_MTAwMzI1NjIxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,kilkearysautobody.com/%3fy_source%3d1_mtawmzi1njixoc03mtutbg9jyxrpb24ud2vic2l0zq%253d%253d,tracking-or-encoded-url
1173,King Collision Centers,King Collision Centers,needs_review_fill,https://kingcollision.com/,kingcollision.com,scheme-www-or-trailing-slash-normalization
1187,Central Auto Body,Classic Collision,name_review,https://classiccollision.com/locations/classic-collision-central-point/,classiccollision.com/locations/classic-collision-central-point,scheme-www-or-trailing-slash-normalization
1201,LaMettry's Collision [Main],"LaMettry's Collision, Inc. of Bloomington",name_review,https://www.lamettrys.com/bloomington-location/,lamettrys.com/bloomington-location,scheme-www-or-trailing-slash-normalization
1213,Latuff Brothers Auto Body,Latuff Brothers Auto Body,safe_fill,http://www.latuffbrothers.com/,latuffbrothers.com,scheme-www-or-trailing-slash-normalization
1220,Lee's Garage,Lee’s Garage of West Long Branch,name_review,https://www.leesgarage.com/%3Fy_source%3D1_MTE1OTU5NjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,leesgarage.com/%3fy_source%3d1_mte1otu5njetnze1lwxvy2f0aw9ulndlynnpdgu%253d,tracking-or-encoded-url
1235,Xtreme Collision Center,Auto Xtreme Collision - Powered by Landers Collision Network,name_review,https://landersauto.com/%3Futm_source%3Dgoogle-gmb-maps%26utm_medium%3Dgmb-website-button%26utm_campaign%3Dlocl.io%26utm_content%3D13b266de-fb88-4404-9211-db7db9f39382,landersauto.com/%3futm_source%3dgoogle-gmb-maps%26utm_medium%3dgmb-website-button%26utm_campaign%3dlocl.io%26utm_content%3d13b266de-fb88-4404-9211-db7db9f39382,tracking-or-encoded-url
1238,Majestic Auto Body,Majestic Auto Body,existing_conflict,https://majesticautobody.com/%3Fy_source%3D1_MTAwMDA1OTM4MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,majesticautobody.com/%3fy_source%3d1_mtawmda1otm4mc03mtutbg9jyxrpb24ud2vic2l0zq%253d%253d,tracking-or-encoded-url
1241,Fradella's Collision Centers,Classic Collision,name_review,https://classiccollision.com/locations/classic-collision-chalmette/,classiccollision.com/locations/classic-collision-chalmette,scheme-www-or-trailing-slash-normalization
