generated_at,pipedrive_org_id,pipedrive_org_name,target_field_name,target_field_key,current_value,proposed_value,source_system,source_id,source_field,match_strategy,match_reason,classification,hold_reason,requires_nick_approval,source_name,source_address,source_city,source_state,source_postal_code,source_phone,source_website,source_psg_id
2026-07-17T15:38:23.909Z,1584,The Wreck Room - Mt,PSG ID,f9036ab08f3060c05153ff91d2085270a935a8b4,,PS1005,FileMaker repair customer export 2018-2020 aggregate,PS1005,source_psg_id,exact_name_state,exact_name_state; name_similarity=1.00,safe_fill,,false,The Wreck Room - MT,,,,,,,PS1005
2026-07-17T15:38:23.909Z,6142,Auto Body Pros,Website,website,,http://bodyshoppros.net/,Supabase Google Business Profile body_shops,ChIJrdNs3pOw2YgRzo_zXkV92Ng,source_website,exact_name_state,exact_name_state; name_similarity=1.00,safe_fill,,false,Body Shop Pros Collision Center,"1841 E 11th Ave, Hialeah, FL 33013",Hialeah,FL,33013,+1 305-887-7405,http://bodyshoppros.net/,
2026-07-17T15:38:23.909Z,6110,Westport Autocraft,Website,website,,https://www.westportautocraft.net/,Supabase Google Business Profile body_shops,ChIJv4ys5Icb6IkRZNNY30Cw59I,source_website,exact_phone,exact_phone; name_similarity=0.95,safe_fill,,false,Westport Auto Craft,"313 Riverside Ave, Westport, CT 06880",Westport,CT,06880,+1 203-227-2862,https://www.westportautocraft.net/,
2026-07-17T15:38:23.909Z,6282,Preferred Auto Body,Website,website,,https://preferredautobodycorp.com/,Supabase Google Business Profile body_shops,ChIJM1Vf85kl44kRnz55_30GoVE,source_website,exact_name_state,exact_name_state; name_similarity=1.00,safe_fill,,false,Preferred Auto Body,"7 Pond Rd # 11, Gloucester, MA 01930",Gloucester,MA,01930,+1 978-283-2008,https://preferredautobodycorp.com/,
2026-07-17T15:38:23.909Z,8789,Poynette Auto Body,Phone,04b2473348bdf2df769dcc3d40323bd319465965,,+1 608-635-7588,Supabase Google Business Profile body_shops,ChIJ4woVB_gdB4gRhW8xzboL2cU,source_phone,exact_website_domain,exact_website_domain; name_similarity=1.00,safe_fill,,false,"Poynette Auto Body, L.L.C.","705 W North St, Poynette, WI 53955",Poynette,WI,53955,+1 608-635-7588,http://www.poynetteautobody.com/,
2026-07-17T15:38:23.909Z,6453,Riverside Auto Body,Website,website,,http://www.riversidecollisioncenter.com/,Supabase Google Business Profile body_shops,ChIJlb9P_2Gx3IARiig2BSwgTn0,source_website,exact_name_state,exact_name_state; name_similarity=1.00,safe_fill,,false,Riverside Collision Center,"2805 Main St, Riverside, CA 92501",Riverside,CA,92501,+1 951-494-8700,http://www.riversidecollisioncenter.com/,
2026-07-17T15:38:23.909Z,8791,Bell and Osborn Auto Body,Phone,04b2473348bdf2df769dcc3d40323bd319465965,,+1 636-278-6700,Supabase Google Business Profile body_shops,ChIJN1mXY5fX3ocRJl5kj6z6acg,source_phone,exact_website_domain,exact_website_domain; name_similarity=1.00,safe_fill,,false,Bell and Osborn Auto Body,"107 N Gatty St Drive, St Peters, MO 63376",St Peters,MO,63376,+1 636-278-6700,https://www.bellandosbornautobody.com/,
2026-07-17T15:38:23.909Z,8791,Bell and Osborn Auto Body,Address,address,,"107 N Gatty St Drive, St Peters, MO 63376",Supabase Google Business Profile body_shops,ChIJN1mXY5fX3ocRJl5kj6z6acg,source_address,exact_website_domain,exact_website_domain; name_similarity=1.00,safe_fill,,false,Bell and Osborn Auto Body,"107 N Gatty St Drive, St Peters, MO 63376",St Peters,MO,63376,+1 636-278-6700,https://www.bellandosbornautobody.com/,
2026-07-17T15:38:23.909Z,5872,Jim's Auto Body,Website,website,,http://jabofjackson.com/,Supabase Google Business Profile body_shops,ChIJiYX2RWJYBIgRdWaU-SpMXBk,source_website,exact_name_state,exact_name_state; name_similarity=1.00,safe_fill,,false,Jim's Auto Body,"4454 Co Rd P, Jackson, WI 53037",Jackson,WI,53037,+1 262-677-3022,http://jabofjackson.com/,
2026-07-17T15:38:23.909Z,7290,"Parkside Auto Body, Inc.",Website,website,,http://www.parksideautobody.com/,Supabase Google Business Profile body_shops,ChIJ5wPJEPW6D4gRFW-DV5DbgS0,source_website,exact_phone,exact_phone; name_similarity=1.00,safe_fill,,false,Parkside Auto Body Inc,"1 S Hickory Ave, Arlington Heights, IL 60004",Arlington Heights,IL,60004,+1 847-394-9100,http://www.parksideautobody.com/,
