RepairCustomerField,DataPresence
RC_CreationDate,FOUND
RC_MatchField_Master,FOUND
RC_Shop,FOUND
RC_PayType,FOUND
RC_SerialNum,FOUND
RC_Cust_First,FOUND
RC_Cust_Last,FOUND
RC_Cust_Address1,FOUND
RC_Cust_Address2,FOUND
RC_Cust_City,FOUND
RC_Cust_State,FOUND
RC_Cust_Zip,FOUND
RC_Repeat_Yes_No,FOUND
RC_Referral_Yes_No,FOUND
RC_Referral_Type,FOUND
RC_InsuranceCompany,FOUND
RC_Date_In,FOUND
RC_Date_Out,FOUND
RC_Repair_Dlz,FOUND
RC_Vehicle_Yr,FOUND
RC_Vehicle_Make,FOUND
RC_Vehicle_Model,FOUND
RC_EmailAddress,FOUND
RC_Agent_First,FOUND
RC_Agent_Last,FOUND
RC_Agent_Address,FOUND
RC_Agent_Address2,FOUND
RC_Agent_City,FOUND
RC_Agent_State,FOUND
RC_Agent_Zip,FOUND
