Production Date,Printed Date,Printed Date,Mailed Date,Mailed Date,01. Survey Only/Survey,03. Thank You Survey Only /Letter,03. Thank You Survey Only /Envelope,04. Thank You With Warranty ONLY/Letter,04. Thank You With Warranty ONLY/Warranty,04. Thank You With Warranty ONLY/Envelope,05. Warranty Only /Warranty,05. Warranty Only /Envelope,06. Thank You Only /Letter,06. Thank You Only /Envelope,"07. Thank You, Warranty & Survey /Letter","07. Thank You, Warranty & Survey /Warranty","07. Thank You, Warranty & Survey /Envelope","07. Thank You, Warranty & Survey /Survey",10. 3 Month /Letter,10. 3 Month /Envelope,11. Birthday /Letter,11. Birthday /Envelope,12. Drivers /Letter,12. Drivers /Envelope,13. 6 Month /Letter,13. 6 Month /Envelope,14. 1 Year /Letter,14. 1 Year /Envelope,15. 18 Month /Letter,15. 18 Month /Envelope,16. 2 Year /Letter,16. 2 Year /Envelope,T. Total Loss /Letter,T. Total Loss /Envelope,E. Estimate Follow-Up /Letter,E. Estimate Follow-Up /Envelope,A. Agent Report Card /Letter,A. Agent Report Card /Envelope,S. Special Mailing /Letter,S. Special Mailing /Envelope
08/10/21,08/10/21,0,08/12/21,2,21,0,0,13,13,13,21,21,1,1,693,693,693,693,1203,1203,0,0,34,34,36,36,1385,1385,954,954,218,218,2,2,0,0,0,0,0,0
08/12/21,08/12/21,0,08/16/21,4,0,0,0,80,80,80,0,0,0,0,197,197,197,197,234,234,0,0,11,11,4,4,88,88,170,170,69,69,0,0,0,0,0,0,0,0
08/17/21,08/21/21,4,08/24/21,7,1,0,0,0,0,0,0,0,0,0,815,815,815,815,324,324,0,0,18,18,13,13,640,640,391,391,52,52,0,0,0,0,11,11,0,0
08/19/21,08/21/21,2,08/25/21,6,13,14,14,4,4,4,0,0,28,28,462,462,462,462,176,176,0,0,4,4,0,0,81,81,145,145,58,58,0,0,0,0,0,0,2610,2610
08/24/21,08/25/21,1,08/27/21,3,0,0,0,0,0,0,0,0,67,67,654,654,654,654,210,210,0,0,18,18,7,7,656,656,377,377,43,43,0,0,13,13,0,0,0,0
08/25/21,08/26/21,1,08/30/21,5,0,0,0,54,54,54,0,0,0,0,73,73,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/21,08/29/21,3,08/30/21,4,36,0,0,69,69,69,36,36,19,19,534,534,534,534,228,228,80,80,7,7,4,4,113,113,180,180,63,63,5,5,0,0,7,7,2420,2420
08/31/21,08/31/21,0,09/03/21,3,11,0,0,101,101,101,0,0,12,12,621,621,621,621,318,318,10,10,15,15,10,10,673,673,293,293,70,70,4,4,8,8,0,0,0,0
09/02/21,09/03/21,1,09/07/21,5,0,0,0,17,17,17,0,0,0,0,312,312,312,312,270,270,72,72,7,7,4,4,2,2,167,167,59,59,4,4,0,0,0,0,0,0
09/07/21,09/08/21,1,09/09/21,2,0,0,0,154,154,154,0,0,0,0,246,246,246,246,459,459,0,0,11,11,2,2,527,527,316,316,64,64,1,1,0,0,0,0,0,0
09/09/21,09/09/21,0,09/10/21,1,0,0,0,7,7,7,0,0,0,0,271,271,271,271,147,147,0,0,5,5,5,5,111,111,166,166,64,64,0,0,6,6,0,0,0,0
09/14/21,09/15/21,1,09/16/21,2,0,0,0,100,100,100,0,0,0,0,411,411,411,411,353,353,0,0,9,9,11,11,602,602,271,271,79,79,0,0,0,0,2,2,0,0
09/16/21,09/18/21,2,09/20/21,4,30,0,0,164,164,164,0,0,0,0,483,483,483,483,186,186,5,5,4,4,0,0,95,95,156,156,57,57,3,3,0,0,0,0,0,0
09/21/21,09/21/21,0,09/22/21,1,5,0,0,12,12,12,0,0,0,0,454,454,454,454,397,397,1,1,10,10,14,14,633,633,228,228,95,95,1,1,0,0,0,0,0,0
